Class ID,Class Name,Easy Accuracy,Hard Accuracy,Drop
10,"brambling, Fringilla montifringilla",0.9473684210526315,0.8425925925925926,0.10477582846003897
100,"black swan, Cygnus atratus",0.9590643274853801,0.7524752475247525,0.2065890799606276
102,"echidna, spiny anteater, anteater",0.35294117647058826,0.07075471698113207,0.2821864594894562
128,"black stork, Ciconia nigra",0.8717948717948718,0.7372262773722628,0.13456859442260904
130,flamingo,0.8743169398907104,0.8217821782178217,0.05253476167288862
133,bittern,0.9468085106382979,0.580952380952381,0.36585612968591685
144,pelican,0.9402985074626866,0.8979591836734694,0.04233932378921723
150,sea lion,0.896551724137931,0.8207547169811321,0.07579700715679893
16,bulbul,0.06557377049180328,0.016574585635359115,0.04899918485644417
20,"water ouzel, dipper",0.9604743083003953,0.8271604938271605,0.13331381447323476
23,Vulture,0.7916666666666666,0.7040816326530612,0.0875850340136054
275,"African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus",0.9852941176470589,0.9305555555555556,0.054738562091503296
276,"hyena, hyaena",0.8058823529411765,0.82,-0.014117647058823457
277,"red fox, Vulpes vulpes",0.5985915492957746,0.5047619047619047,0.09382964453386988
279,"Arctic fox, white fox, Alopex lagopus",0.8852459016393442,0.45726495726495725,0.427980944374387
290,"jaguar, panther, Panthera onca, Felis onca",0.625,0.4080717488789238,0.21692825112107622
291,"lion, king of beasts, Panthera leo",0.9108527131782945,0.6425339366515838,0.26831877652671077
293,"cheetah, chetah, Acinonyx jubatus",0.970873786407767,0.7115384615384616,0.25933532486930544
296,"ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus",1.0,0.9090909090909091,0.09090909090909094
30,"bullfrog, Rana catesbeiana",0.929368029739777,0.7402597402597403,0.18910828948003666
305,dung beetle,0.5230769230769231,0.11702127659574468,0.4060556464811784
316,"cicada, cicala",0.9103448275862069,0.6704545454545454,0.23989028213166153
33,"loggerhead, loggerhead turtle, Caretta caretta",0.822429906542056,0.32967032967032966,0.4927595768717264
337,beaver,0.8932038834951457,0.88,0.013203883495145674
349,"bighorn, bighorn sheep, cimarron",0.4842105263157895,0.375,0.10921052631578948
357,mink,0.6493506493506493,0.19607843137254902,0.45327221797810036
360,otter,0.8396946564885496,0.6952380952380952,0.14445656125045436
37,"box turtle, box tortoise",0.9538461538461539,0.8333333333333334,0.12051282051282053
39,"common iguana, iguana, Iguana iguana",0.76,0.5299145299145299,0.2300854700854701
41,"whiptail, whiptail lizard",0.659919028340081,0.09,0.569919028340081
42,agama,0.8567073170731707,0.6666666666666666,0.19004065040650409
49,"African crocodile, Nile crocodile, Crocodylus niloticus",0.7777777777777778,0.5061728395061729,0.2716049382716049
54,"hognose snake, puff adder, sand viper",0.35751295336787564,0.04065040650406504,0.3168625468638106
56,"king snake, kingsnake",0.26548672566371684,0.23711340206185566,0.028373323601861178
57,"garter snake, grass snake",0.7307692307692307,0.23265306122448978,0.4981161695447409
58,water snake,0.8609271523178808,0.2839506172839506,0.5769765350339302
70,"harvestman, daddy longlegs, Phalangium opilio",0.7465069860279441,0.56,0.18650698602794402
71,scorpion,0.8354430379746836,0.5675675675675675,0.267875470407116
76,tarantula,0.8908296943231441,0.6923076923076923,0.19852200201545178
79,centipede,0.95,0.8076923076923077,0.14230769230769225
80,black grouse,0.7555555555555555,0.43410852713178294,0.3214470284237726
81,ptarmigan,0.9649122807017544,0.7474747474747475,0.21743753322700687
83,"prairie chicken, prairie grouse, prairie fowl",0.616822429906542,0.313953488372093,0.302868941534449
89,"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita",0.9934640522875817,0.9393939393939394,0.054070112893642275
9,"ostrich, Struthio camelus",0.9362745098039216,0.8660714285714286,0.07020308123249297
