Class ID,Class Name,Easy Accuracy,Hard Accuracy,Drop
10,"brambling, Fringilla montifringilla",0.7719298245614035,0.6296296296296297,0.14230019493177382
100,"black swan, Cygnus atratus",0.9766081871345029,0.900990099009901,0.07561808812460191
102,"echidna, spiny anteater, anteater",0.37815126050420167,0.1179245283018868,0.26022673220231485
128,"black stork, Ciconia nigra",0.782051282051282,0.8248175182481752,-0.042766236196893126
130,flamingo,0.6994535519125683,0.5247524752475248,0.17470107666504353
133,bittern,0.7606382978723404,0.5142857142857142,0.24635258358662615
144,pelican,0.8905472636815921,0.5102040816326531,0.380343182048939
150,sea lion,0.9310344827586207,0.9150943396226415,0.015940143135979135
16,bulbul,0.21311475409836064,0.16022099447513813,0.052893759623222514
20,"water ouzel, dipper",0.7707509881422925,0.6172839506172839,0.15346703752500856
23,Vulture,0.8472222222222222,0.6938775510204082,0.15334467120181405
275,"African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus",0.8186274509803921,0.5833333333333334,0.23529411764705876
276,"hyena, hyaena",0.8117647058823529,0.84,-0.028235294117647025
277,"red fox, Vulpes vulpes",0.7253521126760564,0.6571428571428571,0.06820925553319923
279,"Arctic fox, white fox, Alopex lagopus",0.7786885245901639,0.34615384615384615,0.43253467843631777
290,"jaguar, panther, Panthera onca, Felis onca",0.5625,0.484304932735426,0.07819506726457398
291,"lion, king of beasts, Panthera leo",0.7170542635658915,0.5248868778280543,0.1921673857378372
293,"cheetah, chetah, Acinonyx jubatus",0.9902912621359223,0.9423076923076923,0.047983569828230044
296,"ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus",1.0,0.9363636363636364,0.0636363636363636
30,"bullfrog, Rana catesbeiana",0.9144981412639405,0.7857142857142857,0.12878385554965477
305,dung beetle,0.5538461538461539,0.2553191489361702,0.2985270049099837
316,"cicada, cicala",0.9310344827586207,0.8409090909090909,0.09012539184952972
33,"loggerhead, loggerhead turtle, Caretta caretta",0.9299065420560748,0.8351648351648352,0.09474170689123962
337,beaver,0.8737864077669902,0.8,0.07378640776699019
349,"bighorn, bighorn sheep, cimarron",0.6,0.7083333333333334,-0.10833333333333339
357,mink,0.1038961038961039,0.13725490196078433,-0.03335879806468042
360,otter,0.6870229007633588,0.3523809523809524,0.3346419483824064
37,"box turtle, box tortoise",0.676923076923077,0.7135416666666666,-0.03661858974358967
39,"common iguana, iguana, Iguana iguana",0.74,0.5213675213675214,0.2186324786324786
41,"whiptail, whiptail lizard",0.4777327935222672,0.24,0.23773279352226723
42,agama,0.6189024390243902,0.1702127659574468,0.4486896730669434
49,"African crocodile, Nile crocodile, Crocodylus niloticus",0.8555555555555555,0.654320987654321,0.2012345679012345
54,"hognose snake, puff adder, sand viper",0.15025906735751296,0.024390243902439025,0.12586882345507394
56,"king snake, kingsnake",0.11504424778761062,0.16494845360824742,-0.0499042058206368
57,"garter snake, grass snake",0.8974358974358975,0.45714285714285713,0.44029304029304034
58,water snake,0.7218543046357616,0.10493827160493827,0.6169160330308233
70,"harvestman, daddy longlegs, Phalangium opilio",0.7684630738522954,0.56,0.20846307385229534
71,scorpion,0.620253164556962,0.4555984555984556,0.16465470895850642
76,tarantula,0.925764192139738,0.8525641025641025,0.07320008957563551
79,centipede,0.95,0.6923076923076923,0.25769230769230766
80,black grouse,0.6888888888888889,0.5116279069767442,0.17726098191214468
81,ptarmigan,0.9473684210526315,0.6363636363636364,0.3110047846889952
83,"prairie chicken, prairie grouse, prairie fowl",0.8738317757009346,0.6046511627906976,0.269180612910237
89,"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita",0.9215686274509803,0.7474747474747475,0.17409387997623282
9,"ostrich, Struthio camelus",0.9215686274509803,0.9375,-0.015931372549019662
