Class ID,Class Name,Easy Accuracy,Hard Accuracy,Drop
10,"brambling, Fringilla montifringilla",0.9385964912280702,0.8518518518518519,0.08674463937621835
100,"black swan, Cygnus atratus",1.0,0.9504950495049505,0.04950495049504955
102,"echidna, spiny anteater, anteater",0.7226890756302521,0.32075471698113206,0.40193435864912
128,"black stork, Ciconia nigra",0.9743589743589743,0.8686131386861314,0.1057458356728429
130,flamingo,0.9672131147540983,0.9504950495049505,0.016718065249147873
133,bittern,0.973404255319149,0.819047619047619,0.15435663627152996
144,pelican,0.9950248756218906,0.9897959183673469,0.0052289572545436425
150,sea lion,0.9655172413793104,0.9905660377358491,-0.025048796356538672
16,bulbul,0.09016393442622951,0.06077348066298342,0.02939045376324609
20,"water ouzel, dipper",0.9841897233201581,0.9629629629629629,0.021226760357195174
23,Vulture,0.9791666666666666,0.8571428571428571,0.12202380952380953
275,"African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus",1.0,0.9722222222222222,0.02777777777777779
276,"hyena, hyaena",0.9235294117647059,0.91,0.013529411764705901
277,"red fox, Vulpes vulpes",0.7183098591549296,0.6857142857142857,0.0325955734406439
279,"Arctic fox, white fox, Alopex lagopus",0.9508196721311475,0.6923076923076923,0.2585119798234552
290,"jaguar, panther, Panthera onca, Felis onca",0.75,0.7354260089686099,0.014573991031390121
291,"lion, king of beasts, Panthera leo",0.9728682170542635,0.9230769230769231,0.04979129397734039
293,"cheetah, chetah, Acinonyx jubatus",0.9902912621359223,0.8846153846153846,0.10567587752053775
296,"ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus",1.0,0.9818181818181818,0.018181818181818188
30,"bullfrog, Rana catesbeiana",0.9368029739776952,0.8506493506493507,0.08615362332834453
305,dung beetle,0.8923076923076924,0.6914893617021277,0.20081833060556464
316,"cicada, cicala",0.9448275862068966,0.8522727272727273,0.09255485893416926
33,"loggerhead, loggerhead turtle, Caretta caretta",0.9112149532710281,0.7472527472527473,0.16396220601828082
337,beaver,0.9320388349514563,0.93,0.002038834951456292
349,"bighorn, bighorn sheep, cimarron",0.5894736842105263,0.71875,-0.12927631578947374
357,mink,0.8961038961038961,0.4803921568627451,0.41571173924115096
360,otter,0.9312977099236641,0.9047619047619048,0.02653580516175935
37,"box turtle, box tortoise",0.9538461538461539,0.78125,0.1725961538461539
39,"common iguana, iguana, Iguana iguana",0.9,0.6324786324786325,0.26752136752136757
41,"whiptail, whiptail lizard",0.8785425101214575,0.44,0.43854251012145745
42,agama,0.899390243902439,0.5106382978723404,0.38875194603009866
49,"African crocodile, Nile crocodile, Crocodylus niloticus",0.9111111111111111,0.8148148148148148,0.09629629629629632
54,"hognose snake, puff adder, sand viper",0.5803108808290155,0.24390243902439024,0.33640844180462526
56,"king snake, kingsnake",0.7212389380530974,0.6082474226804123,0.11299151537268504
57,"garter snake, grass snake",0.6538461538461539,0.2612244897959184,0.39262166405023546
58,water snake,0.9271523178807947,0.4012345679012346,0.5259177499795601
70,"harvestman, daddy longlegs, Phalangium opilio",0.8602794411177644,0.648,0.21227944111776442
71,scorpion,0.8860759493670886,0.7413127413127413,0.14476320805434728
76,tarantula,0.9606986899563319,0.8782051282051282,0.0824935617512037
79,centipede,0.9666666666666667,0.8269230769230769,0.1397435897435898
80,black grouse,0.7555555555555555,0.5193798449612403,0.2361757105943152
81,ptarmigan,0.9824561403508771,0.7474747474747475,0.23498139287612962
83,"prairie chicken, prairie grouse, prairie fowl",0.9112149532710281,0.7209302325581395,0.1902847207128886
89,"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita",0.9803921568627451,0.9595959595959596,0.0207961972667855
9,"ostrich, Struthio camelus",0.9656862745098039,0.9464285714285714,0.019257703081232536
