Class ID,Class Name,Easy Accuracy,Hard Accuracy,Drop
10,"brambling, Fringilla montifringilla",0.868421052631579,0.6944444444444444,0.17397660818713456
100,"black swan, Cygnus atratus",0.9766081871345029,0.8811881188118812,0.09542006832262173
102,"echidna, spiny anteater, anteater",0.058823529411764705,0.018867924528301886,0.03995560488346282
128,"black stork, Ciconia nigra",0.8846153846153846,0.635036496350365,0.24957888826501962
130,flamingo,0.6557377049180327,0.27722772277227725,0.3785099821457555
133,bittern,0.9148936170212766,0.6857142857142857,0.22917933130699086
144,pelican,0.9651741293532339,0.8367346938775511,0.12843943547568282
150,sea lion,0.9310344827586207,0.7830188679245284,0.1480156148340923
16,bulbul,0.1885245901639344,0.08839779005524862,0.1001268001086858
20,"water ouzel, dipper",0.9051383399209486,0.7098765432098766,0.19526179671107202
23,Vulture,0.7708333333333334,0.673469387755102,0.09736394557823136
275,"African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus",0.9558823529411765,0.8472222222222222,0.1086601307189543
276,"hyena, hyaena",0.8323529411764706,0.8,0.032352941176470584
277,"red fox, Vulpes vulpes",0.647887323943662,0.6190476190476191,0.028839704896042928
279,"Arctic fox, white fox, Alopex lagopus",0.7622950819672131,0.358974358974359,0.4033207229928541
290,"jaguar, panther, Panthera onca, Felis onca",0.171875,0.053811659192825115,0.11806334080717489
291,"lion, king of beasts, Panthera leo",0.7945736434108527,0.6289592760180995,0.16561436739275315
293,"cheetah, chetah, Acinonyx jubatus",0.9660194174757282,0.7692307692307693,0.1967886482449589
296,"ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus",0.9920634920634921,0.7909090909090909,0.2011544011544012
30,"bullfrog, Rana catesbeiana",0.8884758364312267,0.6818181818181818,0.20665765461304497
305,dung beetle,0.5076923076923077,0.23404255319148937,0.2736497545008183
316,"cicada, cicala",0.8620689655172413,0.6136363636363636,0.24843260188087768
33,"loggerhead, loggerhead turtle, Caretta caretta",0.7897196261682243,0.43956043956043955,0.3501591866077848
337,beaver,0.7572815533980582,0.85,-0.09271844660194173
349,"bighorn, bighorn sheep, cimarron",0.6736842105263158,0.6666666666666666,0.007017543859649145
357,mink,0.22077922077922077,0.0392156862745098,0.18156353450471097
360,otter,0.7251908396946565,0.5142857142857142,0.21090512540894224
37,"box turtle, box tortoise",0.6923076923076923,0.4375,0.2548076923076923
39,"common iguana, iguana, Iguana iguana",0.74,0.38461538461538464,0.35538461538461535
41,"whiptail, whiptail lizard",0.7611336032388664,0.26,0.5011336032388664
42,agama,0.625,0.2907801418439716,0.3342198581560284
49,"African crocodile, Nile crocodile, Crocodylus niloticus",0.8333333333333334,0.5185185185185185,0.3148148148148149
54,"hognose snake, puff adder, sand viper",0.6424870466321243,0.2682926829268293,0.374194363705295
56,"king snake, kingsnake",0.6327433628318584,0.5257731958762887,0.10697016695556971
57,"garter snake, grass snake",0.6153846153846154,0.2163265306122449,0.3990580847723705
58,water snake,0.8211920529801324,0.13580246913580246,0.68538958384433
70,"harvestman, daddy longlegs, Phalangium opilio",0.562874251497006,0.528,0.03487425149700596
71,scorpion,0.6835443037974683,0.5598455598455598,0.1236987439519085
76,tarantula,0.8384279475982532,0.7435897435897436,0.09483820400850962
79,centipede,0.6666666666666666,0.5961538461538461,0.07051282051282048
80,black grouse,0.6888888888888889,0.35658914728682173,0.33229974160206716
81,ptarmigan,0.8771929824561403,0.5858585858585859,0.29133439659755445
83,"prairie chicken, prairie grouse, prairie fowl",0.8598130841121495,0.5,0.3598130841121495
89,"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita",0.9869281045751634,0.7777777777777778,0.20915032679738566
9,"ostrich, Struthio camelus",0.7205882352941176,0.6428571428571429,0.07773109243697474
