Class ID,Class Name,Easy Accuracy,Hard Accuracy,Drop
10,"brambling, Fringilla montifringilla",0.8771929824561403,0.75,0.1271929824561403
100,"black swan, Cygnus atratus",0.9298245614035088,0.5841584158415841,0.34566614556192465
102,"echidna, spiny anteater, anteater",0.226890756302521,0.02358490566037736,0.20330585064214365
128,"black stork, Ciconia nigra",0.717948717948718,0.49635036496350365,0.2215983529852143
130,flamingo,0.6885245901639344,0.49504950495049505,0.19347508521343937
133,bittern,0.8936170212765957,0.580952380952381,0.3126646403242147
144,pelican,0.9303482587064676,0.6632653061224489,0.2670829525840187
150,sea lion,0.8620689655172413,0.6415094339622641,0.2205595315549772
16,bulbul,0.12295081967213115,0.11602209944751381,0.006928720224617338
20,"water ouzel, dipper",0.9367588932806324,0.7777777777777778,0.15898111550285465
23,Vulture,0.7847222222222222,0.5714285714285714,0.2132936507936508
275,"African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus",0.9607843137254902,0.9305555555555556,0.030228758169934644
276,"hyena, hyaena",0.8735294117647059,0.81,0.06352941176470583
277,"red fox, Vulpes vulpes",0.5070422535211268,0.3619047619047619,0.14513749161636486
279,"Arctic fox, white fox, Alopex lagopus",0.860655737704918,0.2264957264957265,0.6341600112091915
290,"jaguar, panther, Panthera onca, Felis onca",0.609375,0.43946188340807174,0.16991311659192826
291,"lion, king of beasts, Panthera leo",0.8527131782945736,0.5339366515837104,0.3187765267108632
293,"cheetah, chetah, Acinonyx jubatus",0.9368932038834952,0.6923076923076923,0.24458551157580288
296,"ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus",0.9603174603174603,0.7818181818181819,0.1784992784992785
30,"bullfrog, Rana catesbeiana",0.8438661710037175,0.6493506493506493,0.19451552165306818
305,dung beetle,0.6615384615384615,0.3723404255319149,0.28919803600654664
316,"cicada, cicala",0.9379310344827586,0.5681818181818182,0.3697492163009404
33,"loggerhead, loggerhead turtle, Caretta caretta",0.7383177570093458,0.31868131868131866,0.4196364383280271
337,beaver,0.7378640776699029,0.71,0.027864077669902954
349,"bighorn, bighorn sheep, cimarron",0.6736842105263158,0.6041666666666666,0.06951754385964914
357,mink,0.6363636363636364,0.19607843137254902,0.44028520499108736
360,otter,0.732824427480916,0.49523809523809526,0.23758633224282077
37,"box turtle, box tortoise",0.9076923076923077,0.796875,0.11081730769230769
39,"common iguana, iguana, Iguana iguana",0.46,0.3504273504273504,0.10957264957264962
41,"whiptail, whiptail lizard",0.9068825910931174,0.5,0.4068825910931174
42,agama,0.698170731707317,0.6170212765957447,0.08114945511157234
49,"African crocodile, Nile crocodile, Crocodylus niloticus",0.8444444444444444,0.4444444444444444,0.4
54,"hognose snake, puff adder, sand viper",0.35233160621761656,0.12195121951219512,0.23038038670542144
56,"king snake, kingsnake",0.6017699115044248,0.4845360824742268,0.11723382903019802
57,"garter snake, grass snake",0.8076923076923077,0.22857142857142856,0.5791208791208792
58,water snake,0.8079470198675497,0.1728395061728395,0.6351075136947102
70,"harvestman, daddy longlegs, Phalangium opilio",0.626746506986028,0.376,0.25074650698602796
71,scorpion,0.7088607594936709,0.416988416988417,0.2918723425052539
76,tarantula,0.6855895196506551,0.6217948717948718,0.06379464785578326
79,centipede,0.8333333333333334,0.6153846153846154,0.21794871794871795
80,black grouse,0.6888888888888889,0.32558139534883723,0.36330749354005165
81,ptarmigan,0.9298245614035088,0.6767676767676768,0.253056884635832
83,"prairie chicken, prairie grouse, prairie fowl",0.6308411214953271,0.37209302325581395,0.25874809823951317
89,"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita",0.9673202614379085,0.7272727272727273,0.2400475341651812
9,"ostrich, Struthio camelus",0.9068627450980392,0.8482142857142857,0.058648459383753515
