Class ID,Class Name,Easy Accuracy,Hard Accuracy,Drop
10,"brambling, Fringilla montifringilla",,,
275,"African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus",0.9950980392156863,0.9861111111111112,0.008986928104575131
276,"hyena, hyaena",0.9911764705882353,1.0,-0.008823529411764675
277,"red fox, Vulpes vulpes",0.9225352112676056,0.9047619047619048,0.01777330650570086
279,"Arctic fox, white fox, Alopex lagopus",0.9672131147540983,0.8461538461538461,0.12105926860025218
290,"jaguar, panther, Panthera onca, Felis onca",0.859375,0.7982062780269058,0.0611687219730942
291,"lion, king of beasts, Panthera leo",0.9728682170542635,0.9230769230769231,0.04979129397734039
293,"cheetah, chetah, Acinonyx jubatus",1.0,0.9903846153846154,0.009615384615384581
296,"ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus",1.0,0.990909090909091,0.009090909090909038
30,"bullfrog, Rana catesbeiana",0.9553903345724907,0.8441558441558441,0.11123449041664657
305,dung beetle,0.8461538461538461,0.5638297872340425,0.2823240589198036
316,"cicada, cicala",0.9655172413793104,0.875,0.09051724137931039
33,"loggerhead, loggerhead turtle, Caretta caretta",0.9065420560747663,0.8901098901098901,0.01643216596487629
337,beaver,0.912621359223301,0.96,-0.047378640776698955
349,"bighorn, bighorn sheep, cimarron",0.9263157894736842,0.9166666666666666,0.009649122807017574
357,mink,0.9166666666666666,,
360,otter,0.9312977099236641,0.9047619047619048,0.02653580516175935
37,"box turtle, box tortoise",0.9230769230769231,0.7864583333333334,0.13661858974358976
39,"common iguana, iguana, Iguana iguana",0.72,0.49572649572649574,0.22427350427350423
41,"whiptail, whiptail lizard",0.8866396761133604,0.54,0.34663967611336033
42,agama,0.8963414634146342,0.6737588652482269,0.22258259816640724
49,"African crocodile, Nile crocodile, Crocodylus niloticus",0.9444444444444444,0.8271604938271605,0.11728395061728392
54,"hognose snake, puff adder, sand viper",0.25906735751295334,0.10569105691056911,0.15337630060238422
56,"king snake, kingsnake",0.7256637168141593,0.5773195876288659,0.14834412918529338
57,"garter snake, grass snake",0.6025641025641025,0.10612244897959183,0.4964416535845107
58,water snake,0.8807947019867549,0.6111111111111112,0.26968359087564375
70,"harvestman, daddy longlegs, Phalangium opilio",0.8423153692614771,0.592,0.2503153692614771
71,scorpion,0.9493670886075949,0.861003861003861,0.08836322760373394
76,tarantula,1.0,0.9807692307692307,0.019230769230769273
79,centipede,0.9333333333333333,0.8653846153846154,0.06794871794871793
80,black grouse,0.7777777777777778,0.7751937984496124,0.0025839793281653423
81,ptarmigan,0.9824561403508771,0.7878787878787878,0.1945773524720893
83,"prairie chicken, prairie grouse, prairie fowl",0.7242990654205608,0.43023255813953487,0.2940665072810259
89,"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita",1.0,1.0,0.0
9,"ostrich, Struthio camelus",0.9901960784313726,0.9910714285714286,-0.0008753501400560193
