Class ID,Class Name,Easy Accuracy,Hard Accuracy,Drop
10,"brambling, Fringilla montifringilla",0.8596491228070176,0.5740740740740741,0.2855750487329435
100,"black swan, Cygnus atratus",0.9649122807017544,0.8415841584158416,0.12332812228591283
102,"echidna, spiny anteater, anteater",0.31932773109243695,0.014150943396226415,0.30517678769621054
128,"black stork, Ciconia nigra",0.8461538461538461,0.6934306569343066,0.15272318921953953
130,flamingo,0.6338797814207651,0.16831683168316833,0.4655629497375967
133,bittern,0.8351063829787234,0.5142857142857142,0.3208206686930092
144,pelican,0.8308457711442786,0.2857142857142857,0.5451314854299929
150,sea lion,0.9137931034482759,0.7075471698113207,0.2062459336369552
16,bulbul,0.21311475409836064,0.13812154696132597,0.07499320713703467
20,"water ouzel, dipper",0.7865612648221344,0.4012345679012346,0.3853266969208998
23,Vulture,0.625,0.46938775510204084,0.15561224489795916
275,"African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus",0.8921568627450981,0.75,0.1421568627450981
276,"hyena, hyaena",0.7823529411764706,0.83,-0.047647058823529376
277,"red fox, Vulpes vulpes",0.704225352112676,0.580952380952381,0.12327297116029501
279,"Arctic fox, white fox, Alopex lagopus",0.8360655737704918,0.5641025641025641,0.27196300966792775
290,"jaguar, panther, Panthera onca, Felis onca",0.609375,0.47533632286995514,0.13403867713004486
291,"lion, king of beasts, Panthera leo",0.8643410852713178,0.6923076923076923,0.17203339296362552
293,"cheetah, chetah, Acinonyx jubatus",0.8155339805825242,0.4807692307692308,0.33476474981329346
296,"ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus",1.0,0.8363636363636363,0.1636363636363637
30,"bullfrog, Rana catesbeiana",0.7992565055762082,0.6688311688311688,0.13042533674503942
305,dung beetle,0.6,0.2978723404255319,0.3021276595744681
316,"cicada, cicala",0.9103448275862069,0.875,0.03534482758620694
33,"loggerhead, loggerhead turtle, Caretta caretta",0.9065420560747663,0.6813186813186813,0.225223374756085
337,beaver,0.7669902912621359,0.76,0.006990291262135906
349,"bighorn, bighorn sheep, cimarron",0.6947368421052632,0.6458333333333334,0.04890350877192984
357,mink,0.1038961038961039,0.0392156862745098,0.0646804176215941
360,otter,0.40458015267175573,0.34285714285714286,0.06172300981461287
37,"box turtle, box tortoise",0.8769230769230769,0.7447916666666666,0.1321314102564103
39,"common iguana, iguana, Iguana iguana",0.72,0.42735042735042733,0.29264957264957264
41,"whiptail, whiptail lizard",0.6882591093117408,0.17,0.5182591093117408
42,agama,0.5640243902439024,0.1347517730496454,0.429272617194257
49,"African crocodile, Nile crocodile, Crocodylus niloticus",0.7777777777777778,0.6172839506172839,0.16049382716049387
54,"hognose snake, puff adder, sand viper",0.40932642487046633,0.16260162601626016,0.24672479885420617
56,"king snake, kingsnake",0.168141592920354,0.18556701030927836,-0.017425417388924364
57,"garter snake, grass snake",0.7948717948717948,0.3510204081632653,0.4438513867085295
58,water snake,0.8741721854304636,0.09259259259259259,0.781579592837871
70,"harvestman, daddy longlegs, Phalangium opilio",0.5508982035928144,0.328,0.22289820359281437
71,scorpion,0.7721518987341772,0.3204633204633205,0.45168857827085673
76,tarantula,0.7816593886462883,0.5448717948717948,0.23678759377449343
79,centipede,0.7333333333333333,0.5480769230769231,0.18525641025641015
80,black grouse,0.7111111111111111,0.29457364341085274,0.4165374677002584
81,ptarmigan,0.9122807017543859,0.5656565656565656,0.3466241360978203
83,"prairie chicken, prairie grouse, prairie fowl",0.6214953271028038,0.32558139534883723,0.2959139317539665
89,"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita",0.9607843137254902,0.8585858585858586,0.10219845513963166
9,"ostrich, Struthio camelus",0.9362745098039216,0.7321428571428571,0.20413165266106448
